ID,post_title,Kategori
6,Bisnis & Perusahaan,Jenis Website
7,Toko Online (E-commerce),Jenis Website
8,Blog,Jenis Website
9,Portofolio & Galeri,Jenis Website
10,Portal Berita & Hiburan,Jenis Website
11,Situs Pendidikan & Kursus Online,Jenis Website
12,Komunitas,Jenis Website
13,Landing Page,Jenis Website
14,Analytics,Fitur Fungsi
15,"Blog, Artikel, Informasi & Berita",Fitur Fungsi
16,Call to Action (CTA),Fitur Fungsi
17,Database,Fitur Fungsi
18,Formulir & Kontak,Fitur Fungsi
19,Integrasi Sosial Media,Fitur Fungsi
20,Keamanan,Fitur Fungsi
21,Multi Bahasa,Fitur Fungsi
22,Pembayaran Online/Payment Gateway,Fitur Fungsi
23,Pendaftaran & Keanggotaan,Fitur Fungsi
24,Peta,Fitur Fungsi
25,SEO ,Fitur Fungsi
26,Galeri,Fitur Visual
27,Slideshow & Hero Banner,Fitur Visual
28,Video,Fitur Visual
29,Animasi,Fitur Visual
30,Desain Grafis,Fitur Visual
31,Responsive Ponsel & Tablet,Fitur Visual
32,Navigasi,Fitur Visual
33,Edit Foto,Fitur Visual
34,Pembuatan Content dengan AI,Fitur Ditawarkan
35,Pembuatan Foto & Grafis dengan AI,Fitur Ditawarkan
36,Iklan Google Ads,Penawaran Marketing
37,"Sosial Media, Facebook, Instagram, Tiktok",Penawaran Marketing
38,Iklan Sosial Media,Penawaran Marketing
39,"Fotografi, Video & Desain Grafis",Penawaran Marketing
